id,nombre,tipos,altura_m,peso_kg
1,bulbasaur,"grass, poison",0.7,6.9
2,ivysaur,"grass, poison",1.0,13.0
3,venusaur,"grass, poison",2.0,100.0
4,charmander,fire,0.6,8.5
5,charmeleon,fire,1.1,19.0
6,charizard,"fire, flying",1.7,90.5
7,squirtle,water,0.5,9.0
8,wartortle,water,1.0,22.5
9,blastoise,water,1.6,85.5
10,caterpie,bug,0.3,2.9
11,metapod,bug,0.7,9.9
12,butterfree,"bug, flying",1.1,32.0
13,weedle,"bug, poison",0.3,3.2
14,kakuna,"bug, poison",0.6,10.0
15,beedrill,"bug, poison",1.0,29.5
16,pidgey,"normal, flying",0.3,1.8
17,pidgeotto,"normal, flying",1.1,30.0
18,pidgeot,"normal, flying",1.5,39.5
19,rattata,normal,0.3,3.5
20,raticate,normal,0.7,18.5
21,spearow,"normal, flying",0.3,2.0
22,fearow,"normal, flying",1.2,38.0
23,ekans,poison,2.0,6.9
24,arbok,poison,3.5,65.0
25,pikachu,electric,0.4,6.0
26,raichu,electric,0.8,30.0
27,sandshrew,ground,0.6,12.0
28,sandslash,ground,1.0,29.5
29,nidoran-f,poison,0.4,7.0
30,nidorina,poison,0.8,20.0
31,nidoqueen,"poison, ground",1.3,60.0
32,nidoran-m,poison,0.5,9.0
33,nidorino,poison,0.9,19.5
34,nidoking,"poison, ground",1.4,62.0
35,clefairy,fairy,0.6,7.5
36,clefable,fairy,1.3,40.0
37,vulpix,fire,0.6,9.9
38,ninetales,fire,1.1,19.9
39,jigglypuff,"normal, fairy",0.5,5.5
40,wigglytuff,"normal, fairy",1.0,12.0
41,zubat,"poison, flying",0.8,7.5
42,golbat,"poison, flying",1.6,55.0
43,oddish,"grass, poison",0.5,5.4
44,gloom,"grass, poison",0.8,8.6
45,vileplume,"grass, poison",1.2,18.6
46,paras,"bug, grass",0.3,5.4
47,parasect,"bug, grass",1.0,29.5
48,venonat,"bug, poison",1.0,30.0
49,venomoth,"bug, poison",1.5,12.5
50,diglett,ground,0.2,0.8
51,dugtrio,ground,0.7,33.3
52,meowth,normal,0.4,4.2
53,persian,normal,1.0,32.0
54,psyduck,water,0.8,19.6
55,golduck,water,1.7,76.6
56,mankey,fighting,0.5,28.0
57,primeape,fighting,1.0,32.0
58,growlithe,fire,0.7,19.0
59,arcanine,fire,1.9,155.0
60,poliwag,water,0.6,12.4
61,poliwhirl,water,1.0,20.0
62,poliwrath,"water, fighting",1.3,54.0
63,abra,psychic,0.9,19.5
64,kadabra,psychic,1.3,56.5
65,alakazam,psychic,1.5,48.0
66,machop,fighting,0.8,19.5
67,machoke,fighting,1.5,70.5
68,machamp,fighting,1.6,130.0
69,bellsprout,"grass, poison",0.7,4.0
70,weepinbell,"grass, poison",1.0,6.4
71,victreebel,"grass, poison",1.7,15.5
72,tentacool,"water, poison",0.9,45.5
73,tentacruel,"water, poison",1.6,55.0
74,geodude,"rock, ground",0.4,20.0
75,graveler,"rock, ground",1.0,105.0
76,golem,"rock, ground",1.4,300.0
77,ponyta,fire,1.0,30.0
78,rapidash,fire,1.7,95.0
79,slowpoke,"water, psychic",1.2,36.0
80,slowbro,"water, psychic",1.6,78.5
81,magnemite,"electric, steel",0.3,6.0
82,magneton,"electric, steel",1.0,60.0
83,farfetchd,"normal, flying",0.8,15.0
84,doduo,"normal, flying",1.4,39.2
85,dodrio,"normal, flying",1.8,85.2
86,seel,water,1.1,90.0
87,dewgong,"water, ice",1.7,120.0
88,grimer,poison,0.9,30.0
89,muk,poison,1.2,30.0
90,shellder,water,0.3,4.0
91,cloyster,"water, ice",1.5,132.5
92,gastly,"ghost, poison",1.3,0.1
93,haunter,"ghost, poison",1.6,0.1
94,gengar,"ghost, poison",1.5,40.5
95,onix,"rock, ground",8.8,210.0
96,drowzee,psychic,1.0,32.4
97,hypno,psychic,1.6,75.6
98,krabby,water,0.4,6.5
99,kingler,water,1.3,60.0
100,voltorb,electric,0.5,10.4
101,electrode,electric,1.2,66.6
102,exeggcute,"grass, psychic",0.4,2.5
103,exeggutor,"grass, psychic",2.0,120.0
104,cubone,ground,0.4,6.5
105,marowak,ground,1.0,45.0
106,hitmonlee,fighting,1.5,49.8
107,hitmonchan,fighting,1.4,50.2
108,lickitung,normal,1.2,65.5
109,koffing,poison,0.6,1.0
110,weezing,poison,1.2,9.5
111,rhyhorn,"ground, rock",1.0,115.0
112,rhydon,"ground, rock",1.9,120.0
113,chansey,normal,1.1,34.6
114,tangela,grass,1.0,35.0
115,kangaskhan,normal,2.2,80.0
116,horsea,water,0.4,8.0
117,seadra,water,1.2,25.0
118,goldeen,water,0.6,15.0
119,seaking,water,1.3,39.0
120,staryu,water,0.8,34.5
121,starmie,"water, psychic",1.1,80.0
122,mr-mime,"psychic, fairy",1.3,54.5
123,scyther,"bug, flying",1.5,56.0
124,jynx,"ice, psychic",1.4,40.6
125,electabuzz,electric,1.1,30.0
126,magmar,fire,1.3,44.5
127,pinsir,bug,1.5,55.0
128,tauros,normal,1.4,88.4
129,magikarp,water,0.9,10.0
130,gyarados,"water, flying",6.5,235.0
131,lapras,"water, ice",2.5,220.0
132,ditto,normal,0.3,4.0
133,eevee,normal,0.3,6.5
134,vaporeon,water,1.0,29.0
135,jolteon,electric,0.8,24.5
136,flareon,fire,0.9,25.0
137,porygon,normal,0.8,36.5
138,omanyte,"rock, water",0.4,7.5
139,omastar,"rock, water",1.0,35.0
140,kabuto,"rock, water",0.5,11.5
141,kabutops,"rock, water",1.3,40.5
142,aerodactyl,"rock, flying",1.8,59.0
143,snorlax,normal,2.1,460.0
144,articuno,"ice, flying",1.7,55.4
145,zapdos,"electric, flying",1.6,52.6
146,moltres,"fire, flying",2.0,60.0
147,dratini,dragon,1.8,3.3
148,dragonair,dragon,4.0,16.5
149,dragonite,"dragon, flying",2.2,210.0
150,mewtwo,psychic,2.0,122.0
151,mew,psychic,0.4,4.0
